Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0020147,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,critique,n'a pas essayé,résolu,résolu,Anomalie,2020-12-17,2021-01-14,public,Problématique impayé et désactivation de prêt,"Bonjour, 

nous avons constaté que lorsque nous passons une échéance en impayé, le lendemain son état repasse en ""Remboursé"".

Il me semble que l'on avait échangé sur le sujet cela provient des scripts (je vous laisse confirmer), peut on le rendre à nouveau fonctionnel ?

Même question pour la désactivation de prêt.

Merci. 

",5
0020142,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-12-15,2021-01-13,public,Code Journal de fonctionnement principal,"Bonjour, 

Dans les données la division RE Rhone, il y a le journal de fonctionnement principal: CE COT 

Lors de la remontée des informations dans la passerelle vers SAGE, seuls les 3 premiers caractères sont repris, donc ici le résultat est CE .Est il possible de ramasser l'ensemble des caractères du champs : 
 -Journal fonctionnement principal
 -Journal fonds de PH principal

A votre disposition pour échanger sur le sujet si l'expression de la problématique n'est pas claire.",6
0020216,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,élevée,majeur,n'a pas essayé,affecté,ouvert,Evolution,2021-01-11,2021-01-11,public,Statut du pret,"Voici une proposition concernant le statut du prêt qui à ce jour ne pilote pas les versements, ni l’échéancier, ce qui provoque une incompréhension auprès de l’utilisateur et des erreurs en comptabilité.
Il s’agit d’une modification rapide du comportement du module prêt, afin de répondre rapidement à une problématique.

Le statut « en cours d’initialisation » permet de « préparer » le prêt  (échéances, versement,…) et d’attendre d’avoir un dossier complet. 
Une fois complet le statut « Engagé » permet d’envoyer les versements et de démarrer l’échéancier. 

Pour résumer si le prêt est « en cours d’initialisation », c’est la préparation
                          Si le prêt est « engagé » celui-ci démarre et les versement sont effectués.


Merci de chiffrer ce développement, et de nous remonter les impacts techniques.
",
0020206,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,majeur,n'a pas essayé,résolu,résolu,Anomalie,2021-01-08,2021-01-11,public,Erreur lors de la création d'un pret,"Bonjour, 

lorsque l'on crée un prêt nous rencontrons un message d'erreur :
en PJ le journal d'erreur. 
Personne > pret > bouton + Nouveau pret.

Date is less than the minumum value supported by CrmDateTime. Actual value: 03/23/0001 00:00:00, Minimum value supported: 01/01/1753 00:00:00
Code d'erreur : 0x80040265
ID de session : 86bc690f-7016-4e3b-acad-2d002d40557a
ID d'activité : a404d79a-3698-4ecd-a956-36d8de5ddc5c
Heure : Fri Jan 08 2021 11:39:24 GMT+0100 (heure normale d’Europe centrale)",1
0020207,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,urgente,bloquant,n'a pas essayé,résolu,résolu,Anomalie,2021-01-08,2021-01-08,public,erreur lors de l'ajout d'un accompagnateur référent,"Bonjour, 

Sur la fiche projet suivante : JARDINS PISCINES SERVICES, 

je souhaite ajouter un Acc. référent en phase 5 : Céline AVRIL mais lors de l'enregistrement un message d'erreur m'empêche d'enregistrer : ""An unexpected error occurred from ISV code. (ErrorType = ClientError) Unexpected exception from plug-in (Execute): Masao.Plugins.ser_projet.ProjetAjoutAccompagnateurRéférentListe: System.Exception: Object reference not set to an instance of an object.""

PJ ; journal d'erreur.
Merci par avance pour votre action 
",0.5
0019857,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,aléatoire,accepté,résolu,Anomalie,2020-10-13,2021-01-08,public,MdV - Choix du pays,"Lors de la création d'un prospect, dans la partie ""Pays"" si l'on souhaite changer celui-ci l'opération est problématique. Il est difficile de supprimer le pays par défaut et encore plus de le remplacer par un autre.",2
0019884,C2S - RESEAU ENTREPRENDRE,ADiemer,APelissier,normale,mineur,aléatoire,accepté,résolu,Anomalie,2020-10-19,2021-01-08,public,erreur en création de projet,"Bonjour Nathalie,

Constaté à l'instant avec Eric depuis la prod: dans le menu Projet, quand on clique sur ""nouveau"" pour créer un nouveau projet, ce message d'erreur s'affiche de manière random:

Cannot read property 'getAttribute' of nullID de session : 9adb8673-b605-439f-a520-88c0e6f33437ID de corrélation : 0881482c-11f7-43e3-a365-407b5eb36419Nom de l’événement : onloadNom de ressource Web : mso_/Project/ser_projet.jsNom de la solution : ActiveNom de l’éditeur : DefaultPublisherreseauentreprendrefedeHeure : Mon Oct 19 2020 15:15:00 GMT+0200 (heure d’été d’Europe centrale)
	
À partir de l’adresse <https://reseauentreprendre.crm4.dynamics.com/main.aspx?appid=81a52945-bbbb-40c0-a253-3b61e7e030a9&pagetype=entityrecord&etn=ser_projet> 


Je te mets également le fichier journal en PJ.
Ce n'est pas bloquant à proprement parler, mais c'est gênant.

Merci pour ton retour !
Audrey",0.5
0019871,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,immédiate,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-15,2021-01-08,public,MdV - Envoi de mail,"Evènement > Liste des invités > 3 points verticaux à droite > afficher les enregistrements> sélection d'une personne > envoi email invités.

Lorsque l'on sélectionne une personne et que l'on clique sur le bouton ""envoi mail invités"" cf capture, le mail reçu ne reprend pas les images.
cf mail en PJ.",3
0019778,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-09-29,2021-01-08,public,exécution du DowJones,"(0077116)
SupportOmconseil (rapporteur)
2020-09-24 18:01

Bonsoir,

Je rencontre un cas un peu similaire pour le projet : CONTENEURS CONSTRUCTIONS.
Nous ne parvenons pas à faire le contrôle LCBFT avec le message en pièce jointe.


en lien avec le ticket 19694",0.25
0019737,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-09-21,2021-01-08,public,R7-Statut de la personne,"Une fois le projet créé et rattaché à la personne, la case Candidat est bien bleutée mais on ne voit pas les sous-statuts… qui sont beaucoup plus bas sur l’écran :
Il faut que les cases bleues soient en face de ce bloc car en l’état, l’affichage est difficilement compréhensible.

Côté Activités, c’est également un peu compliqué: une action automatique (passer la personne en Candidat si on lui rattache un projet en phase 1) déclenche la création de 3 notes.
",2.5
0019733,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-09-21,2021-01-08,public,R7-Terminologie,"Dans la rubrique « spécificités », il faudrait reprendre notre terminologie de façon plus complète: programmes IMPACT+, INNOV’ (et non entreprise innovante), WOM’ENERGY (et non entreprendre au féminin)...",0.5
0019736,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-09-21,2021-01-08,public,R7-Recherche par pertinence,"En cliquant sur la loupe en haut à droite dans la barre de menu, un nouvel écran est accessible et on peut chercher par pertinence ou par catégorie. RAS sur la recherche par catégorie, par contre la recherche par pertinence ne remonte aucun résultat. A titre de comparaison : sur la prod actuelle, les deux modes de recherche sont possibles et remontent des résultats.",1
0018974,C2S - RESEAU ENTREPRENDRE,nchatainier,opeiffer,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-25,2021-01-08,public,calcul heures de bénévolat (0001274),"Maxime ALAY-EDDINE a participé à 2 CE, mais aucune heure de bénévolat n'a été décomptée pour cela.
La participation de membres aux événements donne lieu à décompte d'heures de bénévolat, à l'exception des événements type ""conviviale""",2
0019965,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,urgente,bloquant,n'a pas essayé,accepté,réouvert,Anomalie,2020-11-06,2021-01-06,public,Mdv -Flux,"Bonjour, 

nous avons constaté que la flèche ""Flux"" n'est plus disponible pour certains profils.
Ex : Rodolphe Pasquier Desvignes n'a pas la fléche de flux. De mon coté je l'ai.
Pourquoi cette différence ? L'accès au flux est essentiel pour l'activité.
",1
0020152,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-12-18,2021-01-06,public,Lien code naf secteur activité,"Une évolution à réaliser pour développer un plugin pour Code NAF/Secteur d’activité, lorsque l'on sélectionne un code NAF le secteur d'activité se complète automatiquement. 

Partie Projet ser_codenaf / mso_activitysectorid / 
Dans la partie Découverte.

Intégration du secteur d'activité pour l'entreprise et application du plugin.",0.5
0020169,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,urgente,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-12-21,2021-01-04,public,Erreur de script Ville,"Bonjour, 

nous avons des problématiques avec le choix d'une ville, dans plusieurs formulaire. 

Par exemple dans un nouveau projet lorsque nous renseignons la ville, un message apparait avec une erreur de script ( idem dans le choix de la ville pour les coordonnées bancaires).

C'est bloquant pour les utilisateurs et cela doit faire suite au livrable BPI. Pouvez vous régler le problème ? Merci.

L'un des scripts de cet enregistrement a généré une erreur. Pour plus de détails, téléchargez le fichier journal.
Web resource method does not exist: SetAddresseFromCity
ID de session : 7e088434-0165-4d05-9c97-f598f7c3cb61
ID de corrélation : b9fcc3ab-aab8-4c7b-874e-035b340a87f1
Nom de l’événement : onchange
Nom de ressource Web : ser_Adresse.js
Nom de la solution : Active
Nom de l’éditeur : DefaultPublisherreseauentreprendrefede
Heure : Mon Dec 21 2020 14:25:14 GMT+0100 (heure normale d’Europe centrale)",1
0020179,C2S - RESEAU ENTREPRENDRE,nchatainier,APelissier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2021-01-04,2021-01-04,public,Call Point Ticket/C2S,"Call Point Ticket/C2S
Détails du temps passé en pièce jointe",4.5
0020111,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,élevée,majeur,toujours,résolu,résolu,Anomalie,2020-12-08,2021-01-04,public,Edition de convention,"Bonjour , 

pour le prêt du projet DIMEDCARE de HUGUES VIVIEN, lorsque l'on édite la convention 02-PH avec booster Convention d'accompagnement et de PH, le nom du prêt et la date sont incorrects.

La manipulation est la suivante : 
Aller sur le prêt > onglet général cliquer sur convention > Modèle Word > 02-Booster avec PH.



",1
0019973,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Anomalie,2020-11-09,2021-01-04,public,désactivation de pret,"Bonjour , 

Est ce que le module de désactivation est fonctionnel ? Il apparaissait que lorsque l'on désactivait un pret cela suspendait les mensualités. 

Nous venons de faire plusieurs tests parfois la page crash ( même sur l'onglet général), parfois la désactivation fonctionne mais les mensualités restent activent et remontent dans la comptabilité. 

Pouvez vous chiffrer la remise en fonctionnement de ce module. Merci",1
0020177,C2S - RESEAU ENTREPRENDRE,ECadressen,APelissier,élevée,bloquant,toujours,résolu,résolu,Evolution,2020-12-28,2020-12-29,public,Fiche Personne - enlever les conditions obligatoires pour plusieurs Champs,"J’aurais besoin d’une évolution sur la fiche personne pour enlever les conditions obligatoires pour les champs suivants s’il vous plaît.

•	Rue 1
•	Code postal 
•	Ville

Les changements à réaliser
•	Enlever le caractère obligatoire pour les 3 champs
•	Regrouper les champs Code postal et Ville
•	Rendre la saisie du code postal dynamique et le lier à la ville

Pouvez vous me communiquer votre estimation, impact et temps nécessaire pour réaliser les changements ?
",0.5
0020148,C2S - RESEAU ENTREPRENDRE,ADiemer,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-12-17,2020-12-22,public,"modification modèle word ""Reco. dette- 1er versement""","Bonjour,

Pouvez-vous ajouter dans le modèle Word ""Reco. dette- 1er versement"" juste après le 2. dans la liste à puces :

3. Remettre sous un mois à l’association la preuve du dépôt de la somme reçue en capital ou en compte courant d’associé bloqué de mon entreprise.

Ce modèle Word se génère depuis Versement dans le CRM, au niveau de la tranche 1.
Le reste du document est ok.

Merci d'avance pour votre aide,
A dispo,

Audrey",1.25
0020151,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-12-18,2020-12-22,public,Création de prospect,"Bonjour, 

lors de la création d'un prospect, un message d'erreur apparait : 

L'un des scripts de cet enregistrement a généré une erreur. Pour plus de détails, téléchargez le fichier journal.

je vous joint le journal d'erreur en PJ.",0.25
0020136,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-12-14,2020-12-22,public,Tri automatique,"Bonjour, 

lors de l'affichage des échéances d'un pret, celles-ci s'affichent dans le désordre. Lors du clique sur les différents filtres afin de les classer par ordre d'échéance, le tri est incorrect.

Peut on remettre à l'état initial la fonction tri ? ",0.25
0019858,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,urgente,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-10-13,2020-12-22,public,MdV-LCBFT,"Suite du ticket 19824 afin de séparer les problématique au vue du nombre de cas.

Projet Loubière
Cas identique ce jour sur le projet Neuronys
cas identique projet « Numlog » avec Aymeric Guinard comme porteur",4.5
0019193,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-05-29,2020-12-08,public,Devise Plan de Financement,"Bonjour,

Nous avons reçu cette demande de Dominique DA SILVA :

Merci d'adapter le plan de financement dans Sigma dans la devise du pays. Aujourd'hui le plan de financement est en €uros par défaut.",0.5
0019512,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,majeur,toujours,résolu,résolu,Support,2020-08-06,2020-12-07,public,Sigma ne fait pas le lien entre un événement et un projet,"
Dossier 137457

Type de demande :Demande de service Fanny MUET

Mail de suivi : fmuet@reseau-entreprendre.org

Priorité : moyenne

Sujet de la demande : Lien projet – événement

Détails de la demande : Bonjour,

Nous constatons que dans la base ""suivi des heures de bénévolat"" Sigma ne fait pas le lien entre un événement et un projet. Notamment pour les comités. Nous créons un événement ""comité du projet X"", dans la fiche projet du porjetX nous relions l'événement au projet mais ensuite dans la base suivi des heures de bénévolat la participation à l'événement n'est pas rattachée à un projet.

si mon mail n'est pas clair vous pouvez m'appeler au 06 64 66 32 52, je serai en congé du 6 Août au 17 Août donc merci de m'appeler avant ou après ces dates",1
0019667,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,APelissier,normale,mineur,toujours,résolu,résolu,Anomalie,2020-09-11,2020-12-07,public,Les membres n'apparaissent plus dans une liste de comm Contact.,"Bonjour,

Après tests, les listes de comm. de type Contact n'affichent plus les membres.
Il est impossible d'effectuer d'export suite à cela.

Merci pour votre aide.

François.",1.25
0019409,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-07-22,2020-12-07,public,Créer un répertoire Sharepoint pour Le Réseau Entreprendre Loire Vallée,"Bonjour,
Je ne sais pas si Louis Hammel vous a déjà fait la demande auparavant mais depuis la création du Réseau Entreprendre Loire Vallée, il n'y a pas de répertoire Sharepoint de lié à cette association dans SIGMA. Il n'y a pas d'emplacement défini pour eux lors de la gestion d'un projet par exemple, dans la partie Document.

Pouvez-vous gérer cette création ?

Merci pour votre retour

LEMOINE François",1
0019941,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-11-02,2020-11-20,public,MdV - Bouton LCBFT,"Bonjour,

nous avons plusieurs cas où le bouton LCBFT n’apparaît pas, pouvez vous analyser d'où vient la problématique ? 

Je constate que ce module est très instable, le bouton peut apparaître sans rien faire ou disparaître sans raisons. 
Pouvons nous avoir les règles de gestion pour ce bouton execute ? 
( un ticket pour la remontée du statut en automatique est également ouvert).

Merci
",0.5
0019899,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-21,2020-11-20,public,MdV - Page qui ne chargent pas,"Nous avons rencontré plusieurs fois le cas, où lorsque l'on modifie le prêt via ""Détail des remboursements / Actions de modulation du prêt"", la page charge en continu et crash, je vous joins les messages.


",3.5
0019816,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-10-07,2020-11-20,public,Ecriture passerelle Maine,"Bonjour, 

après vérification et suite à notre échange, voici à titre d'exemple ce que l'on retrouve comme écritures dans la passerelle Maine cf pièce jointe.

On peut voir des écritures de 2011, 2013,2015 etc... sur des prêts clos, des personnes inactives : BENICHOU JEREMY.

La problématique vient du fait que ces écritures impactes la comptabilité des associations. 

Merci pour votre analyse. 
EN PJ des exemple sous format Word et les écritures complètes du 02/09 sous format excel.
",2.5
0019777,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,commentaire,ouvert,Anomalie,2020-09-29,2020-11-18,public,Module évènement : Récupération des inscrits Hello Asso,"Déroulement des actions pour arriver à reproduire le soucis : 
Nom de l'événement : Fête des Lauréats Réseau Entreprendre Normandie Seine & Eure
Depuis l'événement faire : Récupération des inscrits.

Les invités HelloAsso sont bien ajoutés à l'événement par contre, SIGMA a créé pour chaque personne une nouvelle fiche sans info et qui génère des doublons qu'il faut supprimer.. Au lieu de matcher une personne existante.

Voir Captures.",3
0019302,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,aléatoire,résolu,résolu,Support,2020-06-29,2020-11-18,public,Problème de création d'adhésion,"Bonjour,

  J'ai une utilisatrice qui rencontre régulièrement un message d'erreur lors de la création d'une adhésion ( voir pièce jointe ). Savez vous pourquoi et comment pouvons nous solutionner le soucis ?

Merci pour votre retour.",9
0019977,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-11-10,2020-11-12,public,Changement de statut de la mensualité,"Bonjour , 

nous avons constaté différents cas où la mensualité du mois d'octobre que l'utilisateur a passée en impayé en respectant les règles de gestion à changée de statut en remboursée au lieu de rester en impayée.

Voici différents cas en pièce jointes. 
Pret Bapst Guillaume : échéance du 05/10 modifié  le 27/10 par Dev2 
Pret Bousrez Quentin : échéance du 05/10 modifié  le 05/11 par Dev2
Pret Cabaret Morgane:: échéance du 05/10 modifié  le 05/11 par Dev2
Pret Darniche Muriel : échéance du 05/10 modifié  le 23/10 par Dev2
Pret Georges Valerie : échéance du 05/10 modifié  le 23/10 par Dev2",0
0019925,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-27,2020-11-11,public,Attribution des projet,"Nous devons ré attribuer des projets à un autre RE.

Pour l'exemple : Ici le projet Cortelab est affecté chez Val de Loire, il doit etre ré attribué chez Loire Vallée.
Pour cela d'habitude nous cliquons sur le bouton ""Attribuer"" nous choisissons une équipe , (ici Loire vallée), lorsque nous validons nous avons un message d'erreur.",0
0019922,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Support,2020-10-26,2020-11-11,public,MdV - Génération du dossier Sharepoint lié à un projet,"Bonjour,

Avant la montée de version, nous avions la possibilité par le biais d'un bouton ""Workflow"" de générer un dossier sharepoint automatiquement et qui était lié au projet.
Depuis, ce bouton n'apparait plus dans le bandeau des boutons disponibles.

Cela est bloquant pour certaine action comme la vérification LCBFT DowJones par exemple.

Merci pour votre retour",0.5
0019921,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,APelissier,normale,mineur,toujours,accepté,résolu,Anomalie,2020-10-26,2020-11-11,public,MdV - Problème Publipostage Word,"Bonjour,

Nous rencontrons les soucis suivants sur le modèle de document :

Par exemple pour la ressource financière : FR-RELV-2020-003
Si l'on clique sur ""Modèles Word"" puis reçu fiscal au titre de l'entreprise par exemple, le document Word généré fait apparaître : Réseau Entreprendre® Val de Loire au lieu de Réseau Entreprendre® Loire Vallée.

Autre cas :

Sur la ressource financière : FR-rhonedu-2020-028
Si l'on clique sur ""Modèles Word"" puis reçu fiscal au titre de l'entreprise. L'adresse affichée ne corresponds pas à l'adresse renseignée dans la fiche entreprise.

N'hésitez pas à revenir vers moi pour toute précision.",2
0019902,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Anomalie,2020-10-21,2020-11-11,public,MdV -  Problème de génération des comptes Workplace avec le statut Permanent,"Bonjour,

Nous rencontrons un problème depuis la mise à jour concernant la génération des comptes Workplace pour les permanents.
A l'origine, lorsque l'on créé une fiche personne dans SIGMA et que l'on renseigne le statut Permanent ou Assimilé. Cela génère la création d'un compte dans Workplace.
Avant la mise à jour, nous pouvions contrôler si le champ était bien pris en compte car la case devenait bleu, aujourd'hui, le contrôle n'est plus faisable. 

",6
0019872,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-15,2020-11-11,public,MdV - pret,Lors de la création d'un nouveau prêt apparaît un message d'erreur . cf capture.,2
0019523,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-13,2020-11-11,public,Problème de droits entre les associations,"Bonjour,

Voici le retour d'une collaboratrice :

Nous constatons qu'il est possible de modifier les personnes (mails, téléphones,…) des autres associations donc de personnes non rattachées à notre association.

De plus, lorsque nous créons une nouvelle personne les doublons détectés sont ceux de toutes les associations, si nous fusionnons alors nous modifions le contact de l'autre association.
Est-ce normal? Si oui, il me semble important de rappeler ce fait à toutes les associations pour que nous soyons tous trés trés vigilants.
",0.5
