Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0020152,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-12-18,2020-12-18,public,Lien code naf secteur activité,"Une évolution à réaliser pour développer un plugin pour Code NAF/Secteur d’activité, lorsque l'on sélectionne un code NAF le secteur d'activité se complète automatiquement. 

Partie Projet ser_codenaf / mso_activitysectorid / 
Dans la partie Découverte.

Intégration du secteur d'activité pour l'entreprise et application du plugin.",
0020147,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,critique,n'a pas essayé,affecté,ouvert,Anomalie,2020-12-17,2020-12-18,public,Problématique impayé et désactivation de prêt,"Bonjour, 

nous avons constaté que lorsque nous passons une échéance en impayé, le lendemain son état repasse en ""Remboursé"".

Il me semble que l'on avait échangé sur le sujet cela provient des scripts (je vous laisse confirmer), peut on le rendre à nouveau fonctionnel ?

Même question pour la désactivation de prêt.

Merci. 

",
0020141,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Support,2020-12-15,2020-12-16,public,Passerelle,"Bonjour , 

merci de prévoir la mise en place des passerelles pour les associations suivantes :

RE 93, Re Essonne, Re Nord.
Nous vous confirmerons la date de déploiement sous peu.

A votre disposition.",
0020111,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,élevée,majeur,toujours,résolu,résolu,Anomalie,2020-12-08,2020-12-11,public,Edition de convention,"Bonjour , 

pour le prêt du projet DIMEDCARE de HUGUES VIVIEN, lorsque l'on édite la convention 02-PH avec booster Convention d'accompagnement et de PH, le nom du prêt et la date sont incorrects.

La manipulation est la suivante : 
Aller sur le prêt > onglet général cliquer sur convention > Modèle Word > 02-Booster avec PH.



",1
0019193,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Evolution,2020-05-29,2020-12-08,public,Devise Plan de Financement,"Bonjour,

Nous avons reçu cette demande de Dominique DA SILVA :

Merci d'adapter le plan de financement dans Sigma dans la devise du pays. Aujourd'hui le plan de financement est en €uros par défaut.",0.5
0019512,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,majeur,toujours,résolu,résolu,Support,2020-08-06,2020-12-07,public,Sigma ne fait pas le lien entre un événement et un projet,"
Dossier 137457

Type de demande :Demande de service Fanny MUET

Mail de suivi : fmuet@reseau-entreprendre.org

Priorité : moyenne

Sujet de la demande : Lien projet – événement

Détails de la demande : Bonjour,

Nous constatons que dans la base ""suivi des heures de bénévolat"" Sigma ne fait pas le lien entre un événement et un projet. Notamment pour les comités. Nous créons un événement ""comité du projet X"", dans la fiche projet du porjetX nous relions l'événement au projet mais ensuite dans la base suivi des heures de bénévolat la participation à l'événement n'est pas rattachée à un projet.

si mon mail n'est pas clair vous pouvez m'appeler au 06 64 66 32 52, je serai en congé du 6 Août au 17 Août donc merci de m'appeler avant ou après ces dates",1
0019667,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,APelissier,normale,mineur,toujours,résolu,résolu,Anomalie,2020-09-11,2020-12-07,public,Les membres n'apparaissent plus dans une liste de comm Contact.,"Bonjour,

Après tests, les listes de comm. de type Contact n'affichent plus les membres.
Il est impossible d'effectuer d'export suite à cela.

Merci pour votre aide.

François.",1.25
0019409,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-07-22,2020-12-07,public,Créer un répertoire Sharepoint pour Le Réseau Entreprendre Loire Vallée,"Bonjour,
Je ne sais pas si Louis Hammel vous a déjà fait la demande auparavant mais depuis la création du Réseau Entreprendre Loire Vallée, il n'y a pas de répertoire Sharepoint de lié à cette association dans SIGMA. Il n'y a pas d'emplacement défini pour eux lors de la gestion d'un projet par exemple, dans la partie Document.

Pouvez-vous gérer cette création ?

Merci pour votre retour

LEMOINE François",1
0019763,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Evolution,2020-09-24,2020-12-04,public,Nettoyage,Nettoyage des bases et nettoyage des environnements; référence au call du 24/09.,2
0019941,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-11-02,2020-11-20,public,MdV - Bouton LCBFT,"Bonjour,

nous avons plusieurs cas où le bouton LCBFT n’apparaît pas, pouvez vous analyser d'où vient la problématique ? 

Je constate que ce module est très instable, le bouton peut apparaître sans rien faire ou disparaître sans raisons. 
Pouvons nous avoir les règles de gestion pour ce bouton execute ? 
( un ticket pour la remontée du statut en automatique est également ouvert).

Merci
",0.5
0019899,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-21,2020-11-20,public,MdV - Page qui ne chargent pas,"Nous avons rencontré plusieurs fois le cas, où lorsque l'on modifie le prêt via ""Détail des remboursements / Actions de modulation du prêt"", la page charge en continu et crash, je vous joins les messages.


",3.5
0019816,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-10-07,2020-11-20,public,Ecriture passerelle Maine,"Bonjour, 

après vérification et suite à notre échange, voici à titre d'exemple ce que l'on retrouve comme écritures dans la passerelle Maine cf pièce jointe.

On peut voir des écritures de 2011, 2013,2015 etc... sur des prêts clos, des personnes inactives : BENICHOU JEREMY.

La problématique vient du fait que ces écritures impactes la comptabilité des associations. 

Merci pour votre analyse. 
EN PJ des exemple sous format Word et les écritures complètes du 02/09 sous format excel.
",2.5
0019431,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,urgente,critique,quelques fois,accepté,résolu,Support,2020-07-29,2020-11-20,public,Plus de mise à jour dynamique des échéances aux dates choisies,"Bonjour,
Mme Marine PASCAL du RE Loire nous a remonté des problèmes de mises à jour automatiques des échéances sur certains prêts comme : 
- prêt GENTY Emmanuel : pas de mise à jour auto des 2 dernières échéances
- prêt GAILLARD David : mauvaise date renseignée automatiquement pour le mois de Juillet (le27 au lieu du 20 qui est la date théorique)

Je vous joins des captures d'écran des prêts cités.

Merci par avance pour votre action.",8
0019777,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,commentaire,ouvert,Anomalie,2020-09-29,2020-11-18,public,Module évènement : Récupération des inscrits Hello Asso,"Déroulement des actions pour arriver à reproduire le soucis : 
Nom de l'événement : Fête des Lauréats Réseau Entreprendre Normandie Seine & Eure
Depuis l'événement faire : Récupération des inscrits.

Les invités HelloAsso sont bien ajoutés à l'événement par contre, SIGMA a créé pour chaque personne une nouvelle fiche sans info et qui génère des doublons qu'il faut supprimer.. Au lieu de matcher une personne existante.

Voir Captures.",3
0019973,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,affecté,ouvert,Anomalie,2020-11-09,2020-11-18,public,désactivation de pret,"Bonjour , 

Est ce que le module de désactivation est fonctionnel ? Il apparaissait que lorsque l'on désactivait un pret cela suspendait les mensualités. 

Nous venons de faire plusieurs tests parfois la page crash ( même sur l'onglet général), parfois la désactivation fonctionne mais les mensualités restent activent et remontent dans la comptabilité. 

Pouvez vous chiffrer la remise en fonctionnement de ce module. Merci",
0019216,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-06-08,2020-11-18,public,Modification du plugin de report,Modification du plugin de report,2
0019302,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,aléatoire,résolu,résolu,Support,2020-06-29,2020-11-18,public,Problème de création d'adhésion,"Bonjour,

  J'ai une utilisatrice qui rencontre régulièrement un message d'erreur lors de la création d'une adhésion ( voir pièce jointe ). Savez vous pourquoi et comment pouvons nous solutionner le soucis ?

Merci pour votre retour.",9
0019977,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-11-10,2020-11-12,public,Changement de statut de la mensualité,"Bonjour , 

nous avons constaté différents cas où la mensualité du mois d'octobre que l'utilisateur a passée en impayé en respectant les règles de gestion à changée de statut en remboursée au lieu de rester en impayée.

Voici différents cas en pièce jointes. 
Pret Bapst Guillaume : échéance du 05/10 modifié  le 27/10 par Dev2 
Pret Bousrez Quentin : échéance du 05/10 modifié  le 05/11 par Dev2
Pret Cabaret Morgane:: échéance du 05/10 modifié  le 05/11 par Dev2
Pret Darniche Muriel : échéance du 05/10 modifié  le 23/10 par Dev2
Pret Georges Valerie : échéance du 05/10 modifié  le 23/10 par Dev2",0
0019925,C2S - RESEAU ENTREPRENDRE,FREMOND,APelissier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-27,2020-11-11,public,Attribution des projet,"Nous devons ré attribuer des projets à un autre RE.

Pour l'exemple : Ici le projet Cortelab est affecté chez Val de Loire, il doit etre ré attribué chez Loire Vallée.
Pour cela d'habitude nous cliquons sur le bouton ""Attribuer"" nous choisissons une équipe , (ici Loire vallée), lorsque nous validons nous avons un message d'erreur.",0
0019922,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Support,2020-10-26,2020-11-11,public,MdV - Génération du dossier Sharepoint lié à un projet,"Bonjour,

Avant la montée de version, nous avions la possibilité par le biais d'un bouton ""Workflow"" de générer un dossier sharepoint automatiquement et qui était lié au projet.
Depuis, ce bouton n'apparait plus dans le bandeau des boutons disponibles.

Cela est bloquant pour certaine action comme la vérification LCBFT DowJones par exemple.

Merci pour votre retour",0.5
0019921,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,APelissier,normale,mineur,toujours,accepté,résolu,Anomalie,2020-10-26,2020-11-11,public,MdV - Problème Publipostage Word,"Bonjour,

Nous rencontrons les soucis suivants sur le modèle de document :

Par exemple pour la ressource financière : FR-RELV-2020-003
Si l'on clique sur ""Modèles Word"" puis reçu fiscal au titre de l'entreprise par exemple, le document Word généré fait apparaître : Réseau Entreprendre® Val de Loire au lieu de Réseau Entreprendre® Loire Vallée.

Autre cas :

Sur la ressource financière : FR-rhonedu-2020-028
Si l'on clique sur ""Modèles Word"" puis reçu fiscal au titre de l'entreprise. L'adresse affichée ne corresponds pas à l'adresse renseignée dans la fiche entreprise.

N'hésitez pas à revenir vers moi pour toute précision.",2
0019412,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Evolution,2020-07-23,2020-11-11,public,Recherche dans une vue,"Bonjour,

Plusieurs personnes ont remonté le soucis suivant :

Lorsqu'une recherche est effectuée par exemple dans le menu personne. Si une vue est sélectionnée au préalable, elle n'est plus prise en compte après utilisation de la recherche.

J'ai fais également le test avec une vue projet inactif que vous trouverez en pièce jointe.

Est-ce qu'il est possible de lier la recherche à la vue ?

Merci pour votre retour.

LEMOINE François

",0.25
0019902,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Anomalie,2020-10-21,2020-11-11,public,MdV -  Problème de génération des comptes Workplace avec le statut Permanent,"Bonjour,

Nous rencontrons un problème depuis la mise à jour concernant la génération des comptes Workplace pour les permanents.
A l'origine, lorsque l'on créé une fiche personne dans SIGMA et que l'on renseigne le statut Permanent ou Assimilé. Cela génère la création d'un compte dans Workplace.
Avant la mise à jour, nous pouvions contrôler si le champ était bien pris en compte car la case devenait bleu, aujourd'hui, le contrôle n'est plus faisable. 

",6
0019634,C2S - RESEAU ENTREPRENDRE,ADiemer,nchatainier,urgente,majeur,n'a pas essayé,accepté,résolu,Evolution,2020-09-07,2020-11-11,public,personnalisations en lien avec le module marketing,"Bonjour Nathalie,

Tu trouveras en PJ la V1 du fichier questions/réponses en vue de la préparation des personnalisations dans le cadre du test utilisateur du module marketing.

Peux-tu nous proposer cette semaine tes dispos (ainsi qu'à Fatouma) afin que nous puissions avancer sur ce sujet ? Merci d'avance pour ton retour.

A dispo,",0.25
0019872,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,élevée,majeur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-15,2020-11-11,public,MdV - pret,Lors de la création d'un nouveau prêt apparaît un message d'erreur . cf capture.,2
0019523,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-13,2020-11-11,public,Problème de droits entre les associations,"Bonjour,

Voici le retour d'une collaboratrice :

Nous constatons qu'il est possible de modifier les personnes (mails, téléphones,…) des autres associations donc de personnes non rattachées à notre association.

De plus, lorsque nous créons une nouvelle personne les doublons détectés sont ceux de toutes les associations, si nous fusionnons alors nous modifions le contact de l'autre association.
Est-ce normal? Si oui, il me semble important de rappeler ce fait à toutes les associations pour que nous soyons tous trés trés vigilants.
",0.5
0019820,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Anomalie,2020-10-08,2020-11-11,public,Code tiers,"Bonjour , 

lorsque que l'on vérifie le nom du champs logiquecode tiers dans la fiche personne celui-ci est ser_codetiers capture 1 
Lorsque l'on est dans la fiche prêt le codetiers est mso_codetiers capture 2 
sur la fiche entreprise le codtiers est ser_codetiers capture 3 mais ne remonte pas. 

Pouvons nous avoir une analyse sur le sujet. 
",0.25
0019803,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,immédiate,critique,n'a pas essayé,accepté,résolu,Anomalie,2020-10-06,2020-11-11,public,Passerelle,"Bonjour , 

je constate ce matin qu'aucune des passerelles n'a ponctionnées cette nuit , elle sont toutes datées du 05/10.

Pouvez vous voir ce qu'il en est ? 

 ",4.5
0019227,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,urgente,bloquant,toujours,accepté,résolu,Support,2020-06-11,2020-11-11,public,Problème avec l'export de la passerelle,"Bonjour, 

Il y a un problème avec l'export pour la passerelle SIGMA -SAGE: 
Pour les adhésions au titre de l'entreprise, le code tiers de la personne et le code tiers de l'entreprise sont repris ensemble dans le CSV, il faut que seul le code tiers de l'entreprise soit prit, sinon cela bloque ensuite les imports dans SAGE, le logiciel retrouvant un code tiers inexistant. ",10
0018983,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-25,2020-11-11,public,Evenement HelloAsso redescend dans la mauvaise division (0001284),"Hello Zakaria,

Il y a un souci avec certains événements créés dans HelloAsso, qui redescendent bien dans SIGMA mais pas pour la bonne division.

Marine Pascal de RE Loire a créé vendredi un événement (Soirée 1er de cordée, créée le 11/10) qui dans un premier temps n'est pas redescendu. Quand je vais dans SIGMA, il redescend bien, mais est rattaché à l'utilisateur reseauentreprendrefede... et non à RE Loire
Je te mets en PJ des captures d'écran de la liste des événements qui retombent pour le compte fédé alors que pour certains ça ne devrait pas être le cas (Provence, sur la seconde capture d'écran: on voit bien le nom de l'asso dans l'URL du lien HelloAsso).

Est-ce que tu pourrais regarder à quoi c'est dû et corriger ?
Est-ce que la retombée de l'évé dans la mauvaise division peut perturber la collecte des réponses des invités ? (dans le cas où on réattribue l'évé à son utilisateur originel) ?

Merci pour ton aide !
Audrey",0
0018982,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-03-25,2020-11-11,public,Evenements : pbs d'enregistrement de participation (0001166),"Rappel du problème évoqué jeudi en complément de mon mail du 05/06/2019 : Olivier DECLERCK <odeclerck@reseau-entreprendre.org> a écrit: On a toujours ce problème lors de l'envoi d'invitation à plus de 250 personnes.
Exemple, l'événement REN Running du 5 juin 2019. 886 invités. envoi de l'invitation par paquets de 250.
pour certains destinataires, toujours les mêmes, ils apparaissent avec le statut = participe alors qu'ils n'ont cliqué aucun lien. Difficile donc de se fier aux réponses !

Infos complémentaires : les réponses positives a priori non liées à la volonté d'un invité (selon leurs dires, leur manque d'intérêt pour le sujet, leur indisponibilité...) concernent a priori toujours les mêmes, et les réponses arrivent tout de suite après l'envoi. L'utilisateur émet donc l'hypothèse que les liens soient ""activés"" par un robot, anti-virus ou autre programme automatique testant les liens. Ils ont constaté sur un autre outil de routage que certains invités se trouvaient dans l'outil de tracking comme ayant cliqué sur 2 liens contradictoires en même temps.
Pouvez-vous vous renseigner ?

Par ailleurs, je lui ai dit que nous avions besoin de cas très précis pour identifier et corriger l'eventuel problème : il va faire un nouvel envoi prochainement et va nous remonter précisément ces cas ""bizarres"".",0
0018956,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-24,2020-11-11,public,architecture dossiers SharePoint SIGMA (0001156),"Est-il possible de changer / personnaliser la nomenclature des dossiers SharePoint créés automatiquement par SIGMA ?
Si cela n'est pas possible, est-il seulement possible de créer un dossier intermédiaire dans projet afin que les dossiers ""projet"" soient trié par année ? Voir par permanent en plus pour les plus grosses assoc' ?
La demande est issue d'un utilisateur qui s'exerce à n'utiliser que SIGMA dans l'accompagnement AMONT & AVAL : il crée à partir d'outook le projet et la personne, ce qui génère un dossier (projet) automatiquement sur son ordi, avec sharepoint, la synchro se fait assez bien, et il n'a plus qu'à suivre les étapes de suivi comme il se doit apres...",2
0018955,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-24,2020-11-11,public,modification / personnalisation des emails automatiques SIGMA (0001157),"Est-il possible de créer nous-mêmes des modèles mails qui sont envoyés automatiquement par SIGMA lors d'une mise en relation (accompagnement AMONT)?
Le mail ne convient pas à tous les utilisateurs. Est-il possible d'avoir une base de mails type pré enregistrés, réalisé par l'utilisateur, pour ces actions",0.25
0018939,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-20,2020-11-11,public,Evolution evenements (0001228),"Les utilisateurs souhaiteraient avoir, sur chaque événement, un dossier rassemblent tous les emails relatifs à l'événement. Ces dossiers viendraient en complément de la bibliothèque de modèles qui rassemble les emails qui ont vocation à reservir.
Pour chaque événement, l'utilisateur mettrait dans le dossier les emails envoyés avec le module gestion des événements : invitations, confirmation, relance, informations pratiques, remerciements,

Par ailleurs, compte-tenu des limites de mise en page, routage & tracking du système actuel avec Outlook, nous voudrions re-étudier l'interfaçage avec Click Dimension. 2 membres du Club utilisateurs sont prêts à travailler sur le sujet. POurrait-on envisager une présentation de l'outil, et éventuellement de l'interface qui avait été développée et rejetée à l'époque par les utilisateurs ?",0
0019526,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-14,2020-11-11,public,Questions champs dans SIGMA,"Bonjour,

Une collaboratrice nous a posé la question suivante :

Pouvez-vous nous dire ce qui peut engendrer la modification des champs :
- 1ère Promotion sur une fiche personne à côté de Lauréat.
Je pense que cette date ce met en place lorsque nous cochons la case Lauréat, est-ce que les associations peuvent modifier cette date ?

- Informations Date d'entrée / Date de sortie d'un membre.
Cette collaboratrice s'étonne d'avoir des dates d'entrée et date de sortie, savez d'où ça provient ?

J'ai rajouté des captures en pièce jointe.

Merci





",3
0019589,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-08-27,2020-11-11,public,Modification nomenclature lors des renouvellements d'adhésions,"Bonjour, suite au renommage du RE Seine Estuaire en ""RE Normandie Estuaire""
Est-t'il possible que les adhésions soient créé avec la nomenclature suivante : FR-NormEstu-XXXX-XXX ?

Merci pour votre retour

François",0.75
0019535,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-18,2020-11-11,public,Modifier l'adresse d'une association,"Bonjour,

Afin de modifier l'adresse d'une association pour les modèles de document etc.. Est-ce qu'il faut simplement changer les informations sur la division ?

Merci pour votre retour",0
0019382,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,quelques fois,accepté,résolu,Evolution,2020-07-16,2020-11-11,public,Création d'un projet SIGMA et liaison Sharepoint,"Bonjour, voici la demande d'une collaboratrice :

Lors de la création d'un nouveau projet, un dossier sharepoint est créé.
Le nom du dossier est le nom du projet dans sharepoint.
Il arrive que le nom du projet ne soit pas encore définit ou qu'il change en cours de projet.
1/ est-ce possible de procéder à un renomage automatique du dossier sharepoint lors d'un changement de nom du projet dans Sigma

2/ si ce n'est pas possible, peut-on changer le nom du dossier dans sharepoint sans engendrer des problèmes dans le lien du dossier sharepoint/Sigma.

Merci",2
0019333,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Support,2020-07-07,2020-11-11,public,Erreur lors du lancement de l'analyse de risque LCB-FT sur un projet,"Bonjour,
Sur le projet ""LES FRUITS DÉTENDUS"" lors du lancement de l'analyse de risque (en phase 2) nous obtenons des messages d'erreur bien que les dossiers Sharepoint soient bien créés et accessibles. Généralement cela est du aux caractères spéciaux dans les noms des projets mais en renommant le projet et en exécutant le Workflow on ne voit pas apparaître de nouveau dossier Sharepoint.
Est-il possible de supprimer les liens existant dans Sigma vers Sharepoint pour un projet afin de le renommer ensuite et d'exécuter à nouveau le workflow de création de dossier Sharepoint ? existe-il une autre solution pour exécuter le risque sur ce projet ?
En pièce jointe les captures d'écran du message d'erreur qui apparaît lors de l'exécution de l'analyse du risque.
Merci par avance pour votre retour.",1
