Identifiant,Projet,Rapporteur,Assigné à,Priorité,Impact,Reproductibilité,État,Résolution,Catégorie,Date de soumission,Mis à jour,Afficher l’état,Résumé,Description,Temps passé (h)
0019163,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-05-20,2020-08-28,public,Problème de devise sur un Prêt,"Bonjour,

  Dominique DA SILVA nous a remonté un soucis sur le prêt au niveau du montant total qui est à la base de 30.000 dinar Tunisien mais aussi dans les mensualités de l’échéancier qui se met en euros et non pas en dinar. 

Prêt TRABELSI Omar / Be3D.

",2.5
0019524,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,S/O,accepté,résolu,Support,2020-08-14,2020-08-28,public,tableaux des vues,"Bonjour;

merci de nous fournir une extraction de toutes les vues de SIGMA avec leur contenu (champs,...) ainsi que le créateur. 
 

",0
0018985,C2S - RESEAU ENTREPRENDRE,LHAMMEL,nchatainier,normale,majeur,aléatoire,accepté,résolu,Support,2020-03-26,2020-08-28,public,Problème d'envoi des événements,"Bonjour, j'ai reçu cette demande de la part d'une collègue : 

J’ai été alerté par Guillaume de RE Auvergne sur le fait que les invitations créées dans SIGMA ne partent pas chez les destinataires. 
Tu trouveras ci-après les liens vers les événements de RE Auvergne et le lien vers l’événement test que j’ai créé. 
Pourras tu faire part de ce dysfonctionnement à Masao ? 


Voici les liens vers deux 2 événements de RE Auvergne qui ne sont pas parti chez les destinataires :

Club 2017bis Les Combattants Mercredi 1er avril 
<https://reseauentreprendre.crm4.dynamics.com/main.aspx?etc=10075&extraqs=formid%3d0856bc39-de1e-4bc7-acf5-5361164ad0a5&id=%7bD66A3F68-EF6D-EA11-A811-000D3AB878DC%7d&pagetype=entityrecord


Club 2019 Jeudi 2 avril de 9h30 à 12h 
<https://reseauentreprendre.crm4.dynamics.com/main.aspx?etc=10075&extraqs=formid%3d0856bc39-de1e-4bc7-acf5-5361164ad0a5&id=%7bFCBCB8FE-F06D-EA11-A811-000D3AB878DC%7d&pagetype=entityrecord

Voici le lien vers l’événement test que j’ai créée pour faire un essai d’envoi sans succès : 

essai envoi evenement 
<https://reseauentreprendre.crm4.dynamics.com/main.aspx?etc=10075&extraqs=formid%3d0856bc39-de1e-4bc7-acf5-5361164ad0a5&id=%7b0279454A-A86E-EA11-A811-000D3AB878DC%7d&pagetype=entityrecord


D’autre part j’ai constaté que lorsque l’on envoie un e-mail test (fonctionnalité qui marche toujours) on a un fichier joint (conf mail en pièce jointe). Je ne sais pas à quoi cela correspond.

Merci beaucoup.
",2
0019034,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,majeur,toujours,accepté,résolu,Support,2020-04-07,2020-08-28,public,R.E. Sigma – impossible de créer nouveau versement,"Bonjour,

Je dois créer un nouveau versement dans Sigma sur le prêt de Berrada Fathi Amine, de l'entreprise Bubble VR. Et cela ne fonctionne pas. Lorsque je le crée et dclique sur Enregistrer, j'ai le message suivant : https://gyazo.com/782546421e55f4af0f0103089dd5f193

Pourquoi ?
Est-il possible de créer un versement ? merci !",2
0018990,C2S - RESEAU ENTREPRENDRE,FCHABBI,nchatainier,élevée,mineur,S/O,accepté,résolu,Evolution,2020-03-26,2020-08-28,public,Montée de version Microsoft,"Préparer le passage à la nouvelle interface de l'outil (UI)
Estimer les impacts",0
0019332,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,élevée,majeur,toujours,accepté,résolu,Support,2020-07-07,2020-08-28,public,Problème d'affichage Événement SIGMA et incorporation d'image,"Bonjour,

   Un grand nombre de collaborateur nous remonte régulièrement des soucis pour incorporer des images dans les événements. Des messages de ce type son récurrent :

Erreur du processus d’entreprise
'o' is an undeclared prefix. Line 1, position 213. Si vous contactez le support, veuillez indiquer les détails techniques.
ID d'activité : 5dc0cc12-8f04-4dfb-b780-bf5fcf088529
voir pièce jointe fichier d'erreur.

",2
0018972,C2S - RESEAU ENTREPRENDRE,nchatainier,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Evolution,2020-03-25,2020-08-28,public,Automatisation des liaisons Personne - Entreprise lié - (0001094),"Sur la fiche Personne d'un Membre accompagnateur d'un Projet, le lien avec les porteurs du projet accompagné, et le projet accompagné ne se fait pas automatiquement dans le bloc ""Personne et Entreprise Liée"" de la Personne qui accompagne.
Sur la fiche Personne d'un Porteur de Projet / Lauréat, le lien avec les autres porteurs de projet, et l'accompagnateur ne se fait pas automatiquement dans le bloc ""Personne et Entreprise Liée"" du porteur de projet.
Les utilisateurs doivent faire ces liaisons à la main, ce qui est chronophage et redondant avec le renseignement de la fiche Projet.",14
0019513,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,accepté,résolu,Evolution,2020-08-06,2020-08-28,public,Résultat de recherche et éléments désactivés,"Dossier 137458 Mail de suivi : fmuet@reseau-entreprendre.org

Priorité : moyenne

Sujet de la demande : Détection des doublons si fiche désactivée

Details de la demande : Bonjour,

Lorsque je lance une recherche dans Sigma, par exemple pour savoir si Mme X existe, alors si la fiche de madame X est désactivée elle ne remonte pas dans ma recherche et ne sera pas forcément détecté lorsque je créerait de nouveau sa fiche.
Cela signifie que nous pouvons donc créer des doublons avec une personne désactivée, ce qui est dommage puisque nous perdons alors l'historique.
Cela vous semble-t-il normal?


cordialement",0
0019592,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,mineur,toujours,affecté,ouvert,Anomalie,2020-08-27,2020-08-28,public,message bloquant lors de la réactivation d'un pret,"Bonjour, 

je rencontre une problématique bloquante, lorsque je souhaite réactiver un prêt j'ai un message d'erreur.

Voici la démarche : recherche de la personne > prêt > clic en haut à droite sur le bouton activer > message d'erreur cf capture. 

Nous avons plusieurs cas identiques, quelle est la problématique et la solution, merci. ",
0019589,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,commentaire,ouvert,Evolution,2020-08-27,2020-08-28,public,Modification nomenclature lors des renouvellements d'adhésions,"Bonjour, suite au renommage du RE Seine Estuaire en ""RE Normandie Estuaire""
Est-t'il possible que les adhésions soient créé avec la nomenclature suivante : FR-NormEstu-XXXX-XXX ?

Merci pour votre retour

François",0.75
0019563,C2S - RESEAU ENTREPRENDRE,FREMOND,nchatainier,normale,majeur,n'a pas essayé,commentaire,résolu,Support,2020-08-24,2020-08-28,public,Base de données,"Bonjour, 

nous vous mettons en copie l'état de la base de données : 
-est ce que l'on peut purger les logs ou faut il les conserver ? Tout ou partie ? 
- Merci de nous fournir un accès à la base de données. 

A votre disposition. ",
0019529,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,accepté,résolu,Support,2020-08-17,2020-08-28,public,Création d'accès restreint,"Bonjour,

Une collaboratrice nous a posé la question suivante :

Nous avons des consultants qui travaillent avec nous sur des départements délimités, est il possible de leurs ouvrir des droits sur SIGMA en limitant leur accès à leur secteur, par exemple Pyrénées Orientales? Merci pour votre retour.",0
0019194,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,n'a pas essayé,résolu,résolu,Support,2020-05-29,2020-08-28,public,Edition des échéanciers de prêts (prêts->modele word> echeancier),"Bonjour,

   Nous avons reçu cette demande de M. Rodolphe PASQUIER DESVIGNES :

Il manque une rupture de tableau entre la première et 2e page, le tableau en 2e page recouvre l'entête de page et est donc illisible",1.75
0019312,C2S - RESEAU ENTREPRENDRE,SupportOmconseil,nchatainier,normale,mineur,toujours,résolu,résolu,Support,2020-07-01,2020-08-28,public,Problème avec la génération de Convention Booster avec PH,"Bonjour,

   Une personne nous a remonté un soucis avec la génération du modèle Word ""02-Booster Avec PH - Convention d'accompagnement et de PH""

Projet Exemple : REMUE MENAGE.

",3.25
